0000000399|Summa Estrada|A Estrada
0000002110|Ciudad de Lugo|Lugo
0000000518|Gran Hotel Lugo|Lugo
0000000641|Puerta de San Pedro|Lugo
0000001597|Mendez Nuñez|Lugo
0000000512|Santiago (Lugo)|Lugo
0000000645|Torre De Núñez|Lugo
0000000499|Apartamentos Las Sirenas|Viveiro
0000000494|Apartamentos Val do Naseiro|Viveiro
0000000281|As Areas I/II|Viveiro
0000000498|Hotel Las Sirenas|Viveiro
0000001829|Orfeo Hotel Residencia|Viveiro
0000001828|Pazo da Trave|Viveiro
0000001894|V.V. As Areas|Viveiro
0000000490|Val do Naseiro|Viveiro
0000000336|Eurostars Auriense|Ourense
0000000527|Barcelo Ourense|Ourense
0000002915|A Maquia|Poio
0000000104|Apartamentos Gran Proa|Poio
0000000137|Apartamentos Xulia|Poio
0000003108|Caracol|Poio
0000000647|Combarro|Poio
0000000799|Covelmar|Poio
0000002227|Don Pepe|Poio
0000001278|Husa Gran Proa|Poio
0000000182|La Vionta|Poio
0000002375|La Vionta (aéreos)|Poio
0000000154|París|Poio
0000001466|Rosalía de Castro|Poio
0000001759|San Juan|Poio
0000001760|San Juan II|Poio
0000003854|San Juan II (aéreos)|Poio
0000000156|Stella Maris (Poio)|Poio
0000000153|Villa Covelo|Poio
0000000069|Abeiras|O Grove
0000000541|Amandi|O Grove
0000002020|Cons da Garda (NO UTILIZAR)|O Grove
0000002856|Apartamentos Maritimo (no utilizar !)|O Grove
0000002862|Apartamentos Maritimo Suites - Solo Adultos|O Grove
0000000091|Bosque Mar (Aptos.)|O Grove
0000000265|Argibay|O Grove
0000000871|Bahia|O Grove
0000000077|Hotel Spa Bosque Mar|O Grove
0000000672|Brasil|O Grove
0000000853|Domínguez|O Grove
0000000121|Don Mexilón|O Grove
0000002464|Gran Hotel La Toja (no utilizar !)|O Grove
0000000290|Eurostar Gran Hotel La Toja|O Grove
0000002461|Hesperia Balneario Isla de la Toja NO UTILIZAR (AD|O Grove
0000000284|Eurostars Isla de la Toja|O Grove
0000000295|La Noyesa|O Grove
0000002374|La Noyesa (aéreos)|O Grove
0000001362|Mar del Norte|O Grove
0000000108|Maruxía|O Grove
0000000190|Cons da Garda|O Grove
0000000192|Mirador Ría de Arosa|O Grove
0000003648|Norat Marina &amp; Spa|O Grove
0000003942|Norat Marina &amp; Spa (no utilizar !)|O Grove
0000000123|O Castro|O Grove
0000000124|Paraíso del Marisco|O Grove
0000000110|Puente de la Toja|O Grove
0000002851|Serantes|O Grove
0000000071|Spa Norat O Grove|O Grove
0000002373|Spa Norat O Grove (aéreos)|O Grove
0000000067|Talaso Hotel Louxo La Toja|O Grove
0000003941|Talaso Hotel Louxo La Toja (Operativa Caixanova)|O Grove
0000001679|Terramar|O Grove
0000000070|Touris|O Grove
0000002857|Apartamentos Arosa (no utilizar !)|O Grove
0000002858|Arosa O Grove|O Grove
0000000587|V.V. O Grove ( 7 noches) (Nocha)|O Grove
0000002143|V.V. O Grove (14 noches) (Nocha)|O Grove
0000001665|Nuevo Villa Juanita|O Grove
0000001664|Villa Juanita|O Grove
0000000193|Airiños|Cangas do Morrazo
0000000176|Don Hotel|Cangas do Morrazo
0000001693|Hollywood|Cangas do Morrazo
0000000194|Jucamar|Cangas do Morrazo
0000000557|V.V. Cangas|Cangas do Morrazo
0000000304|Altariño|Sanxenxo
0000000010|Ancora|Sanxenxo
0000003013|Areas Gordas|Sanxenxo
0000002153|Apartamentos Areas Playa (14 noches o más)|Sanxenxo
0000000274|Apartamentos Areas Playa (menos de 14 noches)|Sanxenxo
0000002096|Apartamentos Capricho de Bascuas|Sanxenxo
0000000268|Esperanza del Mar|Sanxenxo
0000000090|Luz de Luna (no utilizar !)|Sanxenxo
0000000263|Marsil|Sanxenxo
0000003011|Apartamentos Marsil (no utilizar !)|Sanxenxo
0000000088|Apartamentos Nanin (no utilizar !)|Sanxenxo
0000003954|Apartamentos Nanin (no utilizar !)|Sanxenxo
0000003955|Spa Nanin Playa (T2)|Sanxenxo
0000000308|Apartamentos Playa Major|Sanxenxo
0000002859|Apartamentos Riveiro|Sanxenxo
0000002109|Apartamentos Rotilio|Sanxenxo
0000000089|Sun Galicia (NO UTILIZAR!)|Sanxenxo
0000000264|Apartamentos Trisquel|Sanxenxo
0000000043|Alda Acquamaris Sanxenxo|Sanxenxo
0000000207|Ardora|Sanxenxo
0000000097|Atalaya I|Sanxenxo
0000000106|Atalaya II|Sanxenxo
0000000297|Atlántico|Sanxenxo
0000000001|Augusta Eco Wellness Resort|Sanxenxo
0000003940|Augusta Spa Resort (No utilizar !)|Sanxenxo
0000003962|Augusta Spa Resort Family Suite (no utilizar !)|Sanxenxo
0000000085|Augusta Spa Resort Family Suite (no utilizar !)|Sanxenxo
0000000032|Baixamar|Sanxenxo
0000000063|Boavista|Sanxenxo
0000000082|Brisa|Sanxenxo
0000000083|Brisa da Lanzada|Sanxenxo
0000000009|Cabo Festiñanza|Sanxenxo
0000000681|Nuevo Cachalote|Sanxenxo
0000000739|Campomar (A Lanzada)|Sanxenxo
0000000033|Canelas|Sanxenxo
0000000027|Casa Román|Sanxenxo
0000001421|Con D´Arbón|Sanxenxo
0000000810|Cucos|Sanxenxo
0000000055|Delfín azul|Sanxenxo
0000000948|Duna|Sanxenxo
0000000025|El Puente|Sanxenxo
0000002053|Pedramar (antiguo Elvimar)|Sanxenxo
0000000030|Florida Mar|Sanxenxo
0000000004|Gran Talaso Sanxenxo|Sanxenxo
0000003939|Gran Talaso Sanxenxo (Operativa Caixanova)|Sanxenxo
0000002588|Hotel Plaza|Sanxenxo
0000000045|La Costera|Sanxenxo
0000001661|La Terraza|Sanxenxo
0000000058|Los Naranjos|Sanxenxo
0000000034|Luz de Luna|Sanxenxo
0000000056|Marola|Sanxenxo
0000001852|Marycielo|Sanxenxo
0000002614|Minso|Sanxenxo
0000000050|Miramar - Lanzada|Sanxenxo
0000000019|Spa Nanin Playa|Sanxenxo
0000001835|Montalvo Playa|Sanxenxo
0000000036|O Camouco|Sanxenxo
0000002681|Pazo el Revel|Sanxenxo
0000002501|Peregrina|Sanxenxo
0000000057|Piñeiro|Sanxenxo
0000000044|Pipo|Sanxenxo
0000000039|Piramide|Sanxenxo
0000003015|Playa Mar I|Sanxenxo
0000003016|Playa Mar II|Sanxenxo
0000000300|Portonovo|Sanxenxo
0000000604|Nuevo Norat Sanxenxo|Sanxenxo
0000001660|Punta Cabicastro (T2)|Sanxenxo
0000003840|Punta Cabicastro (no utilizar !)|Sanxenxo
0000002420|Punta Vicaño|Sanxenxo
0000002613|Ria Toxa|Sanxenxo
0000000079|Riveiro I|Sanxenxo
0000000081|Riveiro II|Sanxenxo
0000001415|Rivera|Sanxenxo
0000003967|Ronsel|Sanxenxo
0000000012|Rotilio|Sanxenxo
0000000006|Royal Nayef|Sanxenxo
0000002592|Santome |Sanxenxo
0000003094|Inffinit Sanxenxo|Sanxenxo
0000000041|Sixto|Sanxenxo
0000000023|Sun Galicia|Sanxenxo
0000000018|Ton Hotel|Sanxenxo
0000000600|Torres Touriño|Sanxenxo
0000001179|Troncoso|Sanxenxo
0000001649|Turimar|Sanxenxo
0000000273|Barrosa|Sanxenxo
